id,PrimaryName,SecondaryName,Date,Count,PlaceName,Latitude,Longitude,Notes,Family,FamilyName
35,kirjosieppo,Pied Flycatcher,27 May 2016 17.44,,"Katajatie, Vuokatti",64.147147,28.254419,,tiaiset,Tiaiset ym.
36,kuikka,Black-throated Loon,28 May 2016 17.54,2,"Särkinen, Vuokatti",64.1363199195491,28.2993155904378,,uikut-kuikat,Uikut ja kuikat
37,tukkasotka,Tufted Duck,30 May 2016 19.25,2,"Särkiniemi, Helsinki",60.1465911744722,24.8731091525637,,sorsat,Sorsat
38,silkkiuikku,Great Crested Grebe,30 May 2016 19.35,1,"Särkiniemi, Helsinki",60.1468280889654,24.8747235071146,,uikut-kuikat,Uikut ja kuikat
39,Isokoskelo,Goosander,30 May 2016 19.37,1+7,"Särkiniemi, Helsinki",60.1468062960172,24.8747136164688,,sorsat,Sorsat
40,mustapääkerttu,Blackcap,8 July 2016 19.58,,"Hasenheide, Berlin",52.4838413391751,13.4143599495417,,kertut,Kertut
41,kapustarinta,(European) Golden Plover,16 July 2016 17.44,,"Viikki, Helsinki",60.2199948533068,25.027243299433,,kahlaajat,Kahlaajat
42,keltavästäräkki,Yellow Wagtail,16 July 2016 18.03,,"Viikki, Helsinki",60.2202682288649,25.022267185335,,vastarakit-taskut-lepinkaiset,"Västäräkit, taskut ja lepinkäiset"
43,tervapääsky,(Common) Swift,21 July 2016 14.43,,Kajaani,64.2329560377552,27.7381135884492,,paaskyt,Pääskyt
44,räystäspääsky,(Common) House Martin,22 July 2016 11.27,,"Mieslahti, Helsinki",64.4203208014969,28.0257261637859,,paaskyt,Pääskyt
45,harmaasorsa,Gadwall,4 September 2016 16.38,,"Viikki, Helsinki",60.2166607439154,25.0335874961909,,sorsat,Sorsat
46,korppi,(Common) Raven,2 October 2016 15.03,,"Kulosaari, Helsinki",60.1811661641494,25.0148342212972,,varikset,Varikset
47,pikkuvarpunen,(Eurasian) Tree Sparrow,2 October 2016 15.04,,"Kulosaari, Helsinki",60.1808853227473,25.0149157221692,,varpuset-kiurut-kirviset,"Varpuset, kiurut ja kirviset"
48,kuusitiainen,Coal Tit,23 October 2016 14.27,,"Ullanlinnankatu, Helsinki",60.1629946029716,24.9474163058041,,tiaiset,Tiaiset ym.
49,tilhi,(Bohemian) Waxwing,12 November 2016 13.44,,"Tähtitorninmäki, Helsinki",60.1616636654739,24.9529588878485,,rastaat,Rastaat ym.
50,punatulkku,(Eurasian) Bullfinch,12 November 2016 13.45,,"Tähtitorninmäki, Helsinki",60.162560296093,24.9532924954511,,peipot,Peipot
51,pähkinähakki,(Spotted) Nutcracker,10 December 2016 14.03,1,"Tähtitorninmäki, Helsinki",60.1620489647451,24.9521650432993,,varikset,Varikset
52,närhi,(Eurasian) Jay,22 December 2016 11.47,,"Katajatie, Vuokatti",64.1472224417542,28.2540827595515,,varikset,Varikset
53,Urpiainen,(Common) Redpoll,26 December 2016 13.05,,"Katajatie, Vuokatti",64.147154,28.254274,,peipot,Peipot
54,harmaapäätikka,Grey-headed Woodpecker,27 December 2016 13.21,,"Katajatie, Vuokatti",64.147196,28.254206,,tikat,Tikat
